sr#,FYP Title,Description,Link to the FYP Report,@,"Tools,Languages/ Technologies"
1,Road Awareness in Smart Cars using Raspberry pi,"RAR is an AI/computer vision based system that will provide assistance to the driver as road awareness is added in the rover using deep learning algorithms implemented on Raspberry Pi. The system consists of two stages. The first stage focuses on  “Traffic sign board detection” and the second stage focuses on “Traffic sign classification and recognition”. Video input from the raspberry pi camera module will be taken from the surroundings and whenever a sign appears,the system will generate alerts to notify the driver through an Android application",https://drive.google.com/file/d/17tVVqnno2L7fOmSSmljo2qVT9bZoEq_P/view?usp=sharing,@,"Python,Thonny,GitHub,Trello,Android Studio,Arduino,YOLO,Raspberry pi,Rover,Rpi Camera"
2,FIT - FrameWork For IOT Applications,"FIT is a framework that allows users to create complex IoT applications that involve stream processing,event processing,and complex event processing.. FIT is a generic framework aimed to be usable by the diverse users of CEP. A GUI is built upon the framework for generic as well as specific applications. Our GUI will enable users to use some components to create the application's pipeline.",https://drive.google.com/file/d/1RLkExGeghN_SjSTtO79FFBs8KDu_VwJ0/view?usp=sharing,@,"Python,Django,AngularJS,MatrialJS,Kafka"
3,Autonomous Exploration and Mapping  of Unknown Environments,Scout Rover is a 4-wheeled differential drive robot. It is capable of autonomously navigating in an unknown indoor environment and generate a 2D map of its exploration. A depth camera (Microsoft Kinect v1) is used as the only sensor for capturing data from the environment and processed on a remote server to perform all these operations.,https://drive.google.com/file/d/1piMu3CeD5xEB7yDy5vk-yK-XU5s6Xsgq/view?usp=sharing,@,"Python,OpenCV,Arduino,Raspberry Pi"
4,Blockchain Based Digital Wallet,"A general  decentralized application payment system based on Ethereum blockchain technology to support secure payments,and data security. It  can be integrated with any real world application or startups for its payment purposes. Apart from giving payment services we have built our own wallet application to provide wallet services through which users can pay each other using Blockchain Wallet.",https://drive.google.com/file/d/1nUp0uLTVtJTwKFFcuRPDeCXjV_f8nLug/view?usp=sharing,@,"Mern stack,Solidity,Flutter,JavaScript,ExpressJS/NodeJS,ReactJS"
5,Ground Based Air Defence Intelligent Decision Support System,An Intelligent Decision Support System for Ground Based Air Defence Environments. The FYP consisted of two basic modules.1- Threat Evaluation2- Weapon AssignmentThe Threat Evaluation subsystem evaluates the incoming Aerial Threat and assigns a Threat Index to the Threat. Based on that Threat Index the Weapon Assignment subsystem call on a Linear Regression model to assign a weapon to that threat. The Django based GIS web app shows the real time simulations asynchronous to the system.,https://drive.google.com/file/d/1ox7iO0wMPJWEuGoWYZCpCO46oTmpe8bj/view?usp=sharing,@,"Django,GeoDjango,GDAL,QGIS,PostGIS,Protege,OwlReady,GraphDB,Sklearn,Pandas,Numpy,Python,LeafletJS,OpenStreetMaps"
6,Biomedical Text Annotation using Knowledge Graphs,"We created a web-based semantic biomedical text annotator for gene and disease mentions. For this,we use BioBERT to create models for NER and RE for the two entity types and the ontologies GO and ICD-9 as knowledge bases for entity linking",https://drive.google.com/file/d/1T5rrFtpEi5mt0_IqaPmn4InN1AquZqDh/view?usp=sharing,@,"Django,HTML,CSS,BioBERT,PyTorch,Owlready2,Tensorflow,Pandas,NetworkX"
7,The Autonomous Flight Supervisor,"Air Traffic Control (ATC) is a mechanism put in place to ensure a safe,efficient and swiftflow of air traffic all around the world. The primary objective of ATC is to guarantee separationbetween the aircrafts,regulate and facilitate air traffic and provide valuable information to the pilots.",https://drive.google.com/file/d/1ZvUvkYr4UopopREMak0E8ZGooQ8s179p/view?usp=sharing,@,"BlueSky,OpenScope,JavaScript"
8,Bussiness Insight and Visualization Assistant,An web based data analysis portal dedicated to an organization and based on its Data Warehouse. It is embedded with multiple interactive statistical visualizations and provide multiple dashboards and a network graph to provide with bussiness insights and meet respective analysis requirements.,https://drive.google.com/file/d/1UDC6qnAVYbgfQE_dhk-jl12z3Lx_vmZw/view?usp=drivesdk,@,"MySQL Server,MySQL,Python,Bokeh,NetworkX,MySQL connector,Django,HTML,CSS,GIT,GitHub,VScode"
9,BlindAssistant,Semantic based application to help the blind people in the outdoor.,https://drive.google.com/file/d/1BOu3MTMmdNMM5Mt_vE8s9UUp9W6f8eE-/view?usp=sharing,@,Nill
10,Visual Circuit,A drag and drop tool which can be used to build robotic application and can be deployed on server for controlling robots.,https://drive.google.com/file/d/1oIG_Nxo2-NDYFVIMF0xJ1DyfemoTC7AV/view?usp=sharing,@,Python AngularJS NodeJS TensorFlow OpenCV Robot Operating System (ROS) Gazebo Electron
11,LookOut - Safety Application,"Our final year project is majorly centered around an android application which provides safety features such as instantaneously contacting the user’s desired emergency contacts as well as their nearby authorities. We think that with the rise in street crime and overall crime rate in the country coupled with the lack of government’s initiatives and actions to oversee these crime rates,it is a high time to take things into our own hands and start educating the people by spreading awareness. This product aims to provide a sense of safety and security to its users.",https://drive.google.com/file/d/1TVSeMjTcPQPJ3wR81BSvsym2yOmNCen9/view?usp=sharing,@,"Android Studio,Java,XML,JSON,Google APIs,Firebase Authentication,Cloud Firestore,Realtime Database,Cloud Messaging,SQLlite"
12,PowerUI - Spotting UI Display Issues,"We envision to create a product that can perform black box testing of UI display issues of mobile apps with the flexibility to detect 5 most common issues in the mobile UIs and supports different mobile platforms. PowerUI will target developers and companies in the industry who wants to check the inconsistencies in their mobile app display. If there are any,it will detect and localize the region of issue to help the developer fix the bug quickly.",https://drive.google.com/file/d/1Br_0DAe5prlcWrnxVSUk5gVzMM6ZRPbZ/view?usp=sharing,@,"Python,PyTorch,OpenCV,Flask,HTML,CSS,JavaScript"
13,GoVitae - Blockchain based CV verification system,"Our application is created to facilitate verification of CV for companies,especially in an open house environment. The course work done by each student will be inserted in the node of a blockchain which will happen each semester till the completion of degree. The approved stakeholders will be able to search all the work done by students during their degree tenure. Project is using a custom built Blockchain to provide authenticity,transparency to the work done.Major plus point is the time saving and transparent record keeping for both the university and the employers. ",https://drive.google.com/file/d/1IsTQRnY6aKi5S9zgu7h4ldEZMFN50I0Z/view?usp=sharing,@,"GoLang,Angular,Heroku,Git,MailGun,Atom"
14,Chainify,A platform to build custom blockchains with modular consensus algorithms,https://drive.google.com/file/d/1gaLDQsJ6tibPBinBDL91v2eWTaKfjF5U/view?usp=sharing,@,"GoLang,SvelteJs,Postgres,Github,Heroku"
15,CloudSafe: Cloud Auth Auditor,CloudSafe is a web based AWS JSON IAM policies auditor meant for cloud administrators. CloudSafe will automatic pull IAM JSON policies from an AWS account once provided service account credentials and display the policies in JSON format. A user can then analyze the policies for potential vulnerabilities such as Redundant and Conflicting policies.,https://drive.google.com/file/d/1yELx2vFbBbESQUbmWcQYhKZuVz6P3W-g/view?usp=sharing,@,"Python 3,Svelte JS,Boto3,Docker,Flask"
16,Voice Controllable Web Application,"BeMyHand is a voice controllable web application targeting differently-abled people who are unable to use their hands due to some underlying medical cause. It provides them tools like CV Builder,Text Editor,Portfolio Builder and Articles Directory. They can use their voice to operate these tools and surf the entire website be it page navigation,forms filling,scrolling,etc. It provides unmatched ease of use to its users at every stage. BeMyHand provides its users an online presence and a sense of independence in doing so.",https://drive.google.com/file/d/1CkUOxBJAyMOU-9whvpXDd5KY9wZwdWSN/view?usp=sharing,@,"ReactJS,NodeJS,MongoDB,Flask,Google Web Speech API,Webstorm"
17,3D industrial Control Test Bench,"The project aimed to map 3 industrial plants i.e Heat exchanger,water treatment and air compression plant onto unity 3D with SCADA and PLC at backend. Cyber attacks are done on these virtual plants i.e on their PLCs and impact can be visualized onto unity of these plants",https://drive.google.com/file/d/1vJAK2uuzn2SkBaCOwC3OK7wywgkTXU1c/view?usp=sharing,@,"Unity,Radzio,Low Orbit Ion Cannon,Wire Shark,Open PLC,SCADABR"
18,Vehicle Speed Checking ,"Real Time Automated vehicle speed checking system for highways. System will be able to detect Number Plate,brand,type. System will store Extracted Number Plate and details in Database. System will be able to show camera and output on Web Based UI.",https://drive.google.com/file/d/1ZCZHitXoIQ61hMKQw1glgzPC4bpLp6qN/view?usp=sharing,@,"Flask,Google Colab ,Python,Laser Speed Gun,Camera ,Machine Learning Model"
